accountingDate,securitiesInformationProcessorSymbolIdentifier,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,changePercent,changePreviousNumber,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,settlementDate
20201231,ABVG,Affinity Beverage Group Inc.,S,OTC,30944,0,100.00,30944,,399950049,1.00,,2020-12-31
20201231,ABXXF,ABAXX Technologies Inc. Common,S,OTC,28784,0,100.00,28784,,509560,1.00,,2020-12-31
20201231,ABZPY,Aboitiz Power Corp. Unsponsore,S,OTC,100,0,100.00,100,,22,4.55,,2020-12-31
20201231,ACAN,Americann Inc. Common Stock,S,OTC,505,8398,-93.99,-7893,,55859,1.00,,2020-12-31
20201231,ACAVF,ACE Aviation Holdings Inc Comm,S,OTC,6,6,0.00,0,,0,999.99,,2020-12-31
20201231,ACAZF,Acadian Timber Corporation Ord,S,OTC,43941,40420,8.71,3521,,5970,7.36,,2020-12-31
20201231,ACCMF,AAC CLYDE SPACE Common Stock,S,OTC,3793,15442,-75.44,-11649,,7068,1.00,,2020-12-31
20201231,ACCYY,Accor S A American Depositary,S,OTC,12834,4903,161.76,7931,,111074,1.00,,2020-12-31
20201231,ACDSF,Ascendas Real Estate Investmen,S,OTC,920903,548528,67.89,372375,,17850,51.59,,2020-12-31
20201231,ACDVF,Air Canada Inc Vtg & Var Vtg S,S,OTC,8510797,9370279,-9.17,-859482,,303067,28.08,,2020-12-31
20201231,ACEHF,Ace Hardware Indonesia Tbk Ord,S,OTC,35,112,-68.75,-77,,0,999.99,,2020-12-31
20201231,ACEJF,ACEA S.P.A. SHS (Italy),S,OTC,212957,203677,4.56,9280,,74,999.99,,2020-12-31
20201231,ACFN,Acorn Energy Inc.,S,OTC,5159,10580,-51.24,-5421,,67068,1.00,,2020-12-31
20201231,ACGBF,Agricultural Bank of China Ord,S,OTC,33057342,32566676,1.51,490666,,28751,999.99,,2020-12-31
20201231,ACGBY,Agricultural Bank of China Uns,S,OTC,11385,11069,2.85,316,,9444,1.21,,2020-12-31
20201231,ACGI,Amacore Group Inc. (The) Clas,S,OTC,8824,0,100.00,8824,,509472,1.00,,2020-12-31
20201231,ACGPF,Accell Group NV Heerenveen Ord,S,OTC,10203,5063,101.52,5140,,14537,1.00,,2020-12-31
20201231,ACGX,Alliance Creative Group Inc.,S,OTC,8134,9178,-11.38,-1044,,15419,1.00,,2020-12-31
20201231,ACGYF,Subsea 7 SA Ordinary Shares (L,S,OTC,163025,864246,-81.14,-701221,,0,999.99,,2020-12-31
20201231,ACHFF,ARch Biopartners Inc. Ordinary,S,OTC,2917,9561,-69.49,-6644,,13297,1.00,,2020-12-31
20201231,ACHKF,ACHIKO AG NAMEN AKT Ordinary S,S,OTC,113254,36384,211.27,76870,,0,999.99,,2020-12-31
20201231,ACITF,Asian Citrus Holdings Ltd Ordi,S,OTC,2,2,0.00,0,,0,999.99,,2020-12-31
20201231,ACKDF,Auckland International Airport,S,OTC,149065,150108,-0.69,-1043,,301,495.23,,2020-12-31
20201231,ACKRF,American Creek Resources Ltd C,S,OTC,107515,73646,45.99,33869,,197247,1.00,,2020-12-31
20201231,ACLLF,Atco Ltd  Cl I Nv Cda Ordinary,S,OTC,209140,119603,74.86,89537,,341,613.31,,2020-12-31
20201231,ACMDY,Atlas Consolidated Mining & De,S,OTC,160,160,0.00,0,,0,999.99,,2020-12-31
20201231,ACMLF,Ascom Holdings A G Bearer Shs,S,OTC,50,50,0.00,0,,0,999.99,,2020-12-31
20201231,ACNDF,Ascendas India Trust Units (Si,S,OTC,164480,146380,12.37,18100,,37020,4.44,,2020-12-31
20201231,ACNE,Alice Cons Mines Inc Common St,S,OTC,100,379,-73.61,-279,,3201,1.00,,2020-12-31
20201231,ACNNF,Auscann Group Hldgs Ltd Ordina,S,OTC,13718,0,100.00,13718,,56294,1.00,,2020-12-31
20201231,ACOPF,A2 Milk Co Ltd. Shs (New Zeala,S,OTC,174197,758928,-77.05,-584731,,72079,2.42,,2020-12-31
20201231,ACOPY,The A2 Milk Co Ltd Unsponsored,S,OTC,7921,38752,-79.56,-30831,,25060,1.00,,2020-12-31
20201231,ACPGF,ACACIA PHARMA GROUP PLC ORD GB,S,OTC,541,2011,-73.10,-1470,,455,1.19,,2020-12-31
20201231,ACRDF,Acreage Holdings Inc. Class D,S,OTC,248922,248922,0.00,0,,125253,1.99,,2020-12-31
20201231,ACRFF,Accor S A (F) Ordinary Shares,S,OTC,765541,769129,-0.47,-3588,,230,999.99,,2020-12-31
20201231,ACRHF,Acreage Holdings Inc. Class E,S,OTC,585055,583036,0.35,2019,,301483,1.94,,2020-12-31
20201231,ACRL,Atacama Resources Internationa,S,OTC,116375,2385,4779.45,113990,,4121213,1.00,,2020-12-31
20201231,ACSAF,Acs Actividades de Construccio,S,OTC,197456,196532,0.47,924,,269,734.04,,2020-12-31
20201231,ACSAY,ACS Actividades De Construccio,S,OTC,2405,702,242.59,1703,,32597,1.00,,2020-12-31
20201231,ACSEF,ACS Motion Control Ltd. Common,S,OTC,100,100,0.00,0,,0,999.99,,2020-12-31
20201231,ACTX,Advanced Container Technologie,S,OTC,944,996,-5.22,-52,,3988,1.00,,2020-12-31
20201231,ACUIF,AcuityAds Hldgs Inc Ordinary S,S,OTC,283790,72058,293.84,211732,,1475937,1.00,,2020-12-31
20201231,ACUR,ACURA PHARMACEUTICALS INC Comm,S,OTC,10445,11215,-6.87,-770,,25184,1.00,,2020-12-31
20201231,ACWRF,Acceleware Ltd.  Common Shares,S,OTC,33080,80,41250.00,33000,,15091,2.19,,2020-12-31
20201231,ACXIF,Acciona Sa Ordinary Shares,S,OTC,7014,7433,-5.64,-419,,13,539.54,,2020-12-31
20201231,ADBCF,ADBRI Limited Ordinary Shares,S,OTC,10471,5825,79.76,4646,,0,999.99,,2020-12-31
20201231,ADBKF,ADDIKO BK AG Common Shares  Au,S,OTC,440,440,0.00,0,,0,999.99,,2020-12-31
20201231,ADCUF,ADS CRUDE CARRIERS LTD Ordinar,S,OTC,30,30,0.00,0,,0,999.99,,2020-12-31
20201231,ADDDF,adidas AG Ordinary Shares (Ger,S,OTC,398403,590427,-32.52,-192024,,449,887.31,,2020-12-31
20201231,ADDLF,ADDLIFE AB-B Ordinary Shares,S,OTC,1,1,0.00,0,,1270,1.00,,2020-12-31
20201231,ADDYY,adidas AG Sponsored ADR (Germa,S,OTC,21449,12235,75.31,9214,,36073,1.00,,2020-12-31
20201231,ADEVF,ADEVINTA ASA Ordinary Shares (,S,OTC,3106366,3090242,0.52,16124,,202,999.99,,2020-12-31
20201231,ADFT,Adfitech Inc. Common Stock,S,OTC,1101,0,100.00,1101,,756,1.46,,2020-12-31
20201231,ADGCF,ADVANCE GOLD CORP Common Share,S,OTC,333,0,100.00,333,,7515,1.00,,2020-12-31
20201231,ADGO,Advantego Corporation Common S,S,OTC,67850,0,100.00,67850,,28003539,1.00,,2020-12-31
20201231,ADKCF,Adeka Corp Ordinary Shares (Ja,S,OTC,15500,18400,-15.76,-2900,,0,999.99,,2020-12-31
20201231,ADLI,American Medical Technologies,S,OTC,1850,1850,0.00,0,,32385,1.00,,2020-12-31
20201231,ADMLF,Adriatic Metals PLC CHESS Depo,S,OTC,6802,6775,0.40,27,,44674,1.00,,2020-12-31
20201231,ADMQ,ADM Endeavors Inc Common Share,S,OTC,3014,1590,89.56,1424,,545021,1.00,,2020-12-31
20201231,ADMT,ADM Tronics Unlimited Inc. Co,S,OTC,131,0,100.00,131,,30403,1.00,,2020-12-31
20201231,ADNY,Adino Energy Corporation Commo,S,OTC,5000,12283,-59.29,-7283,,1568970,1.00,,2020-12-31
20201231,ADOCY,Adocia Sponsored ADR,S,OTC,120,0,100.00,120,,204,1.00,,2020-12-31
20201231,ADOM,ADOMANI Inc. Common Stock,S,OTC,53405,39378,35.62,14027,,2593311,1.00,,2020-12-31
20201231,ADOOY,Adaro Energy PT Unsponsored AD,S,OTC,7615,7115,7.03,500,,1091,6.98,,2020-12-31
20201231,ADPPF,ADO PPTYS S A Ordinary Shares,S,OTC,154981,130028,19.19,24953,,0,999.99,,2020-12-31
20201231,ADPXY,Audio Pixels Holdings Ltd Spon,S,OTC,356,356,0.00,0,,50,7.12,,2020-12-31
20201231,ADRNY,Koninklijke Ahold Delhaize N.V,S,OTC,7117,2558,178.23,4559,,109536,1.00,,2020-12-31
20201231,ADRZF,Andritz Ag Graz Ordinary Share,S,OTC,203539,195365,4.18,8174,,5,999.99,,2020-12-31
20201231,ADRZY,Andritz Ag Graz Unsponsored AD,S,OTC,9135,3435,165.94,5700,,3862,2.37,,2020-12-31
20201231,ADST,AdStar Inc. Common Stock,S,OTC,16265,12565,29.45,3700,,59655,1.00,,2020-12-31
20201231,ADSV,Allied Security Innovations I,S,OTC,102,9000,-98.87,-8898,,1186766,1.00,,2020-12-31
20201231,ADTEF,Advantech Co Ltd Ordinary Shar,S,OTC,346,33,948.48,313,,0,999.99,,2020-12-31
20201231,ADTFF,Imetal Res Inc Ordinary Shares,S,OTC,12905,11906,8.39,999,,16192,1.00,,2020-12-31
20201231,ADTTF,Advantest Corp Ordinary Shares,S,OTC,1448106,1535347,-5.68,-87241,,0,999.99,,2020-12-31
20201231,ADVOF,Adva Optical Networking SE Ord,S,OTC,42,42,0.00,0,,1,42.00,,2020-12-31
20201231,ADVT,Advantis Corporation Common St,S,OTC,264,0,100.00,264,,747515,1.00,,2020-12-31
20201231,ADVZF,Adventus Mng Corp Common Share,S,OTC,40750,0,100.00,40750,,10771,3.78,,2020-12-31
20201231,ADWPF,Andrew Peller Ltd Class A Ordi,S,OTC,20600,20617,-0.08,-17,,19,999.99,,2020-12-31
20201231,ADXDF,Adex Mining Corp Ordinary Shar,S,OTC,50,50,0.00,0,,182,1.00,,2020-12-31
20201231,ADYEY,Adyen N.V. Unsponsored ADR (Ne,S,OTC,245354,264495,-7.24,-19141,,435830,1.00,,2020-12-31
20201231,ADYX,Adynxx Inc. Common Stock,S,OTC,76,0,100.00,76,,9353,1.00,,2020-12-31
20201231,ADYYF,Adyen N.V. Ordinary Shares (Ne,S,OTC,192030,192553,-0.27,-523,,467,411.20,,2020-12-31
20201231,ADZZF,Advance Residence Investment C,S,OTC,1370,1313,4.34,57,,0,999.99,,2020-12-31
20201231,AEDFF,Aedifica Sicafi Bruxelles Ord,S,OTC,26265,19712,33.24,6553,,6,999.99,,2020-12-31
20201231,AEGG,American Energy Group Ltd. Ne,S,OTC,99,99,0.00,0,,3909,1.00,,2020-12-31
20201231,AEGOF,Aegon NV Ordinary Shares (Neth,S,OTC,33010004,53820692,-38.67,-20810688,,264600,124.75,,2020-12-31
20201231,AEGXF,AECON GROUP INC Ordinary Share,S,OTC,126555,54315,133.00,72240,,497,254.64,,2020-12-31
20201231,AEICF,Aeria Inc Tokyo Ordinary Share,S,OTC,5092,2600,95.85,2492,,0,999.99,,2020-12-31
20201231,AELTF,Adacel Technologies Ltd Ordina,S,OTC,1765,1665,6.01,100,,971,1.82,,2020-12-31
20201231,AEMC,Archer Entertainment Media Com,S,OTC,1030,0,100.00,1030,,1378,1.00,,2020-12-31
20201231,AEMMF,A2A SpA Ordinary Shares,S,OTC,6187695,6194519,-0.11,-6824,,3636,999.99,,2020-12-31
20201231,AEMMY,A2A SpA Unsponsored ADR (Italy,S,OTC,579,589,-1.70,-10,,2,289.50,,2020-12-31
20201231,AENG,Advanced Engine Technologies,S,OTC,67657,67657,0.00,0,,0,999.99,,2020-12-31
20201231,AEOJF,Aeon Financial Services Co Ltd,S,OTC,330625,549094,-39.79,-218469,,0,999.99,,2020-12-31
20201231,AEOXF,Aeroports de Paris Adp Ordinar,S,OTC,9481,20182,-53.02,-10701,,65,145.86,,2020-12-31
20201231,AEPLF,Anglo Eastern Plantations PLC,S,OTC,5,0,100.00,5,,1,5.00,,2020-12-31
20201231,AEPT,American Energy Partners Inc.,S,OTC,48014,203269,-76.38,-155255,,11923886,1.00,,2020-12-31
20201231,AERG,Applied Energetics Inc Common,S,OTC,601602,633713,-5.07,-32111,,342390,1.76,,2020-12-31
20201231,AERS,Aerius Common Stock,S,OTC,32196,30313,6.21,1883,,416254,1.00,,2020-12-31
20201231,AESEW,Allied Esports Entertainment,S,OTC,108869,114176,-4.65,-5307,,262112,1.00,,2020-12-31
20201231,AETUF,Arc Resources Ltd. Ordinary Sh,S,OTC,5297522,7619026,-30.47,-2321504,,18709,283.15,,2020-12-31
20201231,AEWRF,AEW UK REIT PLC REIT ORD GBP0.,S,OTC,2865,2120,35.14,745,,0,999.99,,2020-12-31
20201231,AEXAF,Atos Origin SA Ordinary Shares,S,OTC,2414460,2430621,-0.66,-16161,,16,999.99,,2020-12-31
20201231,AEXAY,Atos Origin SA Unsponsored ADR,S,OTC,10894,2872,279.32,8022,,10806,1.01,,2020-12-31
20201231,AEXFF,Aminex Plc Ord Ordinary Shares,S,OTC,658,658,0.00,0,,0,999.99,,2020-12-31
20201231,AFBOF,African Rainbow Minerals Limit,S,OTC,399,73742,-99.46,-73343,,0,999.99,,2020-12-31
20201231,AFCJF,AFC Ajax NV Amsterdam Ordinary,S,OTC,5,5,0.00,0,,0,999.99,,2020-12-31
20201231,AFCL,Amcor Financial Corp Common St,S,OTC,10,10,0.00,0,,0,999.99,,2020-12-31
20201231,AFFG,AFF Holding Group Inc. Common,S,OTC,2,2,0.00,0,,0,999.99,,2020-12-31
20201231,AFFL,Affiliated Resources Corporati,S,OTC,5000,5000,0.00,0,,259,19.31,,2020-12-31
20201231,AFFN,Affinity Networks Inc. Common,S,OTC,7600,7600,0.00,0,,0,999.99,,2020-12-31
20201231,AFFS,AmTrust Financial Services In,S,OTC,612,2704,-77.37,-2092,,8956,1.00,,2020-12-31
20201231,AFFT,AmTrust Financial Services In,S,OTC,304,478,-36.40,-174,,9855,1.00,,2020-12-31
20201231,AFFU,Affluence Corporation Common S,S,OTC,1200,0,100.00,1200,,68495,1.00,,2020-12-31
20201231,AFFY,Affymax Inc. Common Stock,S,OTC,35529,106839,-66.75,-71310,,160934,1.00,,2020-12-31
20201231,AFGVF,AGFA-GEVAERT N.V. BRUESSEL Ord,S,OTC,17294,14884,16.19,2410,,0,999.99,,2020-12-31
20201231,AFGVY,Agfa Gevaert NV Unsponsored AD,S,OTC,754,754,0.00,0,,136,5.54,,2020-12-31
20201231,AFGYF,AFC Energy Plc Ordinary Shares,S,OTC,9702,8367,15.96,1335,,108827,1.00,,2020-12-31
20201231,AFHBL,ATLAS FINL HLDGS INC Other  6.,S,OTC,157,223,-29.60,-66,,4012,1.00,,2020-12-31
20201231,AFHIF,ATLAS FINL HLDGS INC Ordinary,S,OTC,9693,9693,0.00,0,,48910,1.00,,2020-12-31
20201231,AFLYY,Air France ADS ADS,S,OTC,2607,62130,-95.80,-59523,,98202,1.00,,2020-12-31
20201231,AFMJF,ALPHAMIN RESOURCES CORP. Ordin,S,OTC,19490,2719,616.81,16771,,134402,1.00,,2020-12-31
20201231,AFML,Aerofoam Metals Inc. Common St,S,OTC,104121,97049,7.29,7072,,84597,1.23,,2020-12-31
20201231,AFOM,All For One Media Corp. Common,S,OTC,45,10045,-99.55,-10000,,233168638,1.00,,2020-12-31
20201231,AFPW,Alumifuel Power Corp. Common S,S,OTC,1,22376,-100.00,-22375,,497520839,1.00,,2020-12-31
20201231,AFRAF,Air France KLM Ordinary Shares,S,OTC,1433715,1444429,-0.74,-10714,,7854,182.55,,2020-12-31
20201231,AFSIA,Amtrust Financial Services In,S,OTC,771,1026,-24.85,-255,,8258,1.00,,2020-12-31
20201231,AFSIC,Amtrust Financial Services In,S,OTC,25,0,100.00,25,,14242,1.00,,2020-12-31
20201231,AFSIM,AmTrust Financial Services In,S,OTC,2513,1862,34.96,651,,26383,1.00,,2020-12-31
20201231,AFSIN,AmTrust Financial Services In,S,OTC,2427,2323,4.48,104,,18807,1.00,,2020-12-31
20201231,AFSIP,AmTrust Financial Services In,S,OTC,2282,1686,35.35,596,,22076,1.00,,2020-12-31
20201231,AFTC,Alternative Fuel Technologies,S,OTC,47341,0,100.00,47341,,7267674,1.00,,2020-12-31
20201231,AFTPF,Afterpay Ltd Ordinary Shares,S,OTC,1288064,1330445,-3.19,-42381,,23867,53.97,,2020-12-31
20201231,AFTPY,AFTERPAY LTD ADR (Australia),S,OTC,24032,28866,-16.75,-4834,,64709,1.00,,2020-12-31
20201231,AFXXF,AF AB,S,OTC,85702,93021,-7.87,-7319,,0,999.99,,2020-12-31
20201231,AFYG,Affinity Gold Corp. Common Sto,S,OTC,2050,50,4000.00,2000,,65454,1.00,,2020-12-31
20201231,AGATF,Deutsche Bank Agriculture Doub,S,OTC,1,1,0.00,0,,0,999.99,,2020-12-31
20201231,AGCBF,Amarillo Gold Corporation Ordi,S,OTC,54420,41272,31.86,13148,,77248,1.00,,2020-12-31
20201231,AGCCF,Gensource Potash Corp. Ordinar,S,OTC,2000,0,100.00,2000,,26482,1.00,,2020-12-31
20201231,AGDXF,Antioquia Gold Inc Ordinary Sh,S,OTC,7500,7500,0.00,0,,14668,1.00,,2020-12-31
20201231,AGDY,Agri-Dynamics Inc Common Stock,S,OTC,13690,7190,90.40,6500,,74665,1.00,,2020-12-31
20201231,AGEEF,Halo Labs Inc Ordinary Shares,S,OTC,137404,95344,44.11,42060,,3248964,1.00,,2020-12-31
20201231,AGESF,Ageas NV Ordinary Shares (Belg,S,OTC,164868,178637,-7.71,-13769,,0,999.99,,2020-12-31
20201231,AGESY,Ageas Sponsored ADR (Belgium),S,OTC,11315,12563,-9.93,-1248,,1958,5.78,,2020-12-31
20201231,AGFAF,Agraflora Organics Intl Inc Or,S,OTC,262607,413768,-36.53,-151161,,2948785,1.00,,2020-12-31
20201231,AGFMF,A G F Mgmt Ltd Cl B Non Vtg Or,S,OTC,9118,1794,408.25,7324,,130,70.14,,2020-12-31
20201231,AGGHF,Agrios Global Holdings Ltd Com,S,OTC,493,0,100.00,493,,1171,1.00,,2020-12-31
20201231,AGGI,Allied Energy Inc. Common Sto,S,OTC,24784,0,100.00,24784,,641448,1.00,,2020-12-31
20201231,AGGZF,AG Growth International Inc. C,S,OTC,237748,270197,-12.01,-32449,,1633,145.59,,2020-12-31
20201231,AGHC,Aeon Global Health Corp. Commo,S,OTC,12170,12170,0.00,0,,30767,1.00,,2020-12-31
20201231,AGIN,American Graphite Technologies,S,OTC,9294,556,1571.58,8738,,383927,1.00,,2020-12-31
20201231,AGLNF,AGL Energy Ltd Ordinary Shares,S,OTC,58069,30351,91.32,27718,,1176,49.38,,2020-12-31
20201231,AGLXY,AGL Energy Ltd American Deposi,S,OTC,949,1582,-40.01,-633,,8185,1.00,,2020-12-31
20201231,AGLY,AGILITI INC Common Stock  Dela,S,OTC,218,218,0.00,0,,164,1.33,,2020-12-31
20201231,AGMJF,Algoma Cent Corp (F) Ordinary,S,OTC,4447,402,1006.22,4045,,3247,1.37,,2020-12-31
20201231,AGNPF,Algernon Pharmaceuticals Inc O,S,OTC,42109,178901,-76.46,-136792,,2466893,1.00,,2020-12-31
20201231,AGOAF,Abengoa Sa ABG/AC B 0.01 (Spai,S,OTC,1300704,1300347,0.03,357,,2974,437.36,,2020-12-31
20201231,AGOL,Andina Gold Corp. Common Stock,S,OTC,400,400,0.00,0,,37127,1.00,,2020-12-31
20201231,AGOWF,Abengoa SA Warrant Expiring 03,S,OTC,6720,7077,-5.04,-357,,0,999.99,,2020-12-31
20201231,AGPIF,Anglo Pacific Res Plc Ord Ordi,S,OTC,2592,12342,-79.00,-9750,,1427,1.82,,2020-12-31
20201231,AGPPF,Anglo Platinum Ltd Ordinary Sh,S,OTC,22284,22154,0.59,130,,154,144.70,,2020-12-31
20201231,AGPYF,Agile Property Holdings Limite,S,OTC,5460331,5559230,-1.78,-98899,,3571,999.99,,2020-12-31
20201231,AGRDF,Minnova Corp. Ordinary Shares,S,OTC,17399,11500,51.30,5899,,19142,1.00,,2020-12-31
20201231,AGRIP,Agribank FCB Fixed-to-Floating,S,OTC,10,10,0.00,0,,189,1.00,,2020-12-31
20201231,AGRPF,Absa Group Ltd Ordinary Shares,S,OTC,56750,40197,41.18,16553,,0,999.99,,2020-12-31
